index,score
194357,0.0452215115797947
313222,0.0512512953776663
321873,0.0839557259370375
118689,0.0541989215491788
342561,0.0266262096487738
47516,0.0449328754906173
93769,0.0198294783147714
293478,0.0426188220219311
74312,0.0179326448489557
235772,0.0775571871531198
265505,0.0425908704606916
15335,0.0345129490295244
111727,0.0634933702897691
212062,0.0281134095346651
318170,0.0352582615508561
155630,0.0614130175120993
217246,0.0149245930062522
47877,0.0406380339976886
110229,0.0098380780052217
132875,0.0
25813,0.0655357937845623
312447,0.0407495118049404
154217,0.0602238347084946
280898,0.0
14534,0.0313802510536121
15144,0.0376154833171587
150572,0.051369952241261
145145,0.0248115361036737
311181,0.0668856225182513
353415,0.0510645317990643
92971,0.1005774109532243
131351,0.0565309395654689
139575,0.1153047142127144
165558,0.0325109127805128
268164,0.0207866899470979
275394,0.0198955911163126
38467,0.1738704457843001
133156,0.0246443350857709
2093,0.0779861081587019
223009,0.0486535469577985
216290,1.0
46758,0.0455532469877099
79613,0.0367368934683722
199917,0.0
75979,0.0454142185670524
174572,0.0990580134558995
89380,0.071766971748387
289908,0.0
143612,0.0
288639,0.0795602297855208
225937,0.0
57507,0.0471813958876245
88901,0.0410232052738382
27010,0.0351381807504205
158199,0.2457829646539028
244921,0.0341142975847882
98247,0.0627643332483791
263920,0.0255827107992329
140984,0.0
77392,0.0296906008836573
93623,0.013117842607595
132729,0.080858208624009
229982,0.0411995626039634
327728,0.0662914345629071
18791,0.0153096853660771
226837,0.1243771366171433
157415,0.0538037709877309
32911,0.0362279722652018
192632,0.050413008622646
220575,0.0680517824240355
203859,0.1021584009456676
142084,0.0377317256103388
246516,0.071530098517586
280957,0.0
141416,0.0283324736476965
215810,0.0546527165783482
94408,0.044727945687411
220170,0.0718356541677939
251265,0.0180167847378867
307456,0.067003870572746
125545,0.0431679600961713
3296,0.03719247123823
68609,0.0284192487214565
298852,0.042061706736055
186491,0.1250943467535043
145746,0.1874181709533646
23342,0.0227780669663029
78807,0.0684679753684111
50091,0.0277711454798431
59855,0.062855523186879
311161,0.0365909063598136
88770,0.0153251526853339
348424,0.0277439131459898
289877,0.0269864610000507
148127,0.0398248093071598
132482,0.041098560930094
80217,0.0597086952511567
312058,0.0499872041659243
271096,0.0194749762226178
242368,0.1287252895148947
176061,0.0845262768537656
139785,0.0585452867207884
338136,0.0553654876513081
346961,0.0809270648266096
351530,0.0663843742386279
334072,0.0455013164680662
100561,0.063110680499667
150021,0.0
205416,0.078036436395877
267715,0.1256484168968644
54541,0.0659772522010725
78765,0.0366233409377273
7493,0.0614535075063914
153943,0.0762663803444494
61664,0.0902889558211763
311036,0.06393431191361
227345,0.0501129143026092
104608,0.0
314684,0.0265031247542254
17044,0.1019098075980491
129195,0.0532487689444832
199767,0.0363751152149295
304830,0.0438398858403328
59487,0.0344628040089353
75489,0.0402556709838762
130141,0.0457359520380712
76577,0.0298111341780329
170301,0.0
